sample	input_reads	input_bases	reads_mapped	bases_mapped	mapping_percentage
SA000221	34368754	5153384168	29460346	4417856163	85.72
SA000222	35710056	5354990510	31005862	4649678936	86.83
SA000223	33070256	4959137845	28968878	4344175252	87.60
SA000224	35814744	5370282755	32029946	4802919216	89.43
SA000225	36862688	5527273547	32225252	4832097258	87.42
SA000226	36976318	5543929792	31135522	4668720856	84.20
SA000227	35049666	5242072734	11003820	1650137607	31.39
SA000228	33638478	5044055469	29508440	4424911031	87.72
SRR14842320	13500554	1979247039	11946682	1751475339	88.49
SRR14842322	9310640	1360288000	7790994	1138091971	83.68
SRR14842323	17039862	2498639978	15634550	2293664971	91.75
SRR14842324	74304516	10982073366	41343908	6115859202	55.64
SRR14842325	15064516	2228501600	11200090	1657123941	74.35
SRR14842327	15250370	2266455352	11369934	1690536687	74.56
SRR14842328	15303354	2264581587	9418530	1392061066	61.55
SRR14842332	13567062	2006790042	12501376	1849232256	92.15
SRR14842333	2387098	352431783	1977308	292325320	82.83
SRR14842334	13070324	1944969836	9700978	1443650640	74.22
SRR14842335	13489106	2009294239	11876132	1769195502	88.04
SRR14842336	15295034	2281885846	12085860	1803416762	79.02
SRR14842337	14987476	2230994345	8165872	1214086544	54.48
SRR14842338	48288704	7194266912	19818212	2951204771	41.04
SRR14842340	13983458	2079937358	8447034	1255254361	60.41
SRR14842341	55019870	8207420667	44935650	6702965910	81.67
SRR14842342	15102888	2256822433	11785824	1761563789	78.04
SRR14842343	3637978	477857365	2510316	347855699	69.00
SRR14842344	89730652	13339742393	21157834	3142388869	23.58
SRR14842345	32189810	4791797390	24252414	3610256251	75.34
SRR14842346	4824622	717017027	3230948	480159974	66.97
SRR14842347	14904560	2219844659	8014982	1193492048	53.78
SRR14842348	16515760	2460821303	13265320	1976853197	80.32
SRR14842350	14315584	2132981426	11485118	1710955139	80.23
SRR14842351	17225690	2564703920	13429868	1999213450	77.96
SRR14842352	66036898	9852940072	48930948	7301444565	74.10
SRR14842353	11308166	1674492347	9827692	1455034921	86.91
SRR14842354	14124802	2096981273	12808718	1901692738	90.68
SRR14842355	15949870	2336335188	13595080	1990740557	85.24
SRR14842356	9080324	1354468843	7881230	1175726153	86.79
SRR14842357	12722574	1895475367	11147250	1660764655	87.62
SRR14842358	16814782	2502307977	14506932	2158771425	86.27
SRR14842359	15943596	2371490342	14042874	2088771072	88.08
SRR14842360	14998318	2233127195	2886070	429119496	19.24
SRR14842362	13568970	2006635761	12425582	1837636374	91.57
SRR14842363	3794298	567087656	3119804	466554232	82.22
SRR14842364	11669424	1695960148	10304580	1497550910	88.30
SRR14842365	15881360	2354017428	11468230	1696932726	72.21
SRR14842366	9919346	1468082755	8435176	1249211254	85.04
SRR14842367	15146690	2185355202	12036774	1735368678	79.47
SRR14842368	11995580	1766769520	9575222	1409169929	79.82
SRR14842369	17408756	2594411148	15344454	2286796717	88.14
SRR14842371	15883810	2365160650	14930310	2223369668	94.00
SRR14842372	3653002	542813635	2702126	401584710	73.97
SRR14842373	2707078	400243121	2087804	308572988	77.12
SRR14842374	14924532	2223101918	10858474	1616646879	72.76
SRR14842375	11031574	1641192127	9288444	1381859703	84.20
SRR14842376	51766206	7715335219	46364520	6910524068	89.57
SRR14842377	5200270	768714097	4229448	625211900	81.33
SRR14842378	15741676	2341249779	12924920	1921752400	82.11
SRR14842379	14517328	1977111563	13394832	1832119987	92.27
SRR14842380	12766674	1897651697	10601994	1576116153	83.04
SRR14842381	129849736	19337244248	23292250	3429880663	17.94
SRR14842383	15305130	2262876135	10899260	1608604492	71.21
SRR14842384	17448478	2584753694	16197308	2399441707	92.83
SRR14842385	55830642	8315316244	34024620	5068154439	60.94
SRR14842386	10410742	1546229158	8825100	1310701509	84.77
SRR14842387	9558602	1423418895	8295124	1235386670	86.78
SRR14842388	3472950	514100448	2746972	406819447	79.10
SRR14842390	15137928	2251829820	11737362	1745903249	77.54
SRR14842391	6187236	916527871	5299590	785223099	85.65
SRR14842392	13346970	1988599963	10326920	1538511370	77.37
SRR14842393	13710100	2030865617	11700218	1732603026	85.34
SRR14842394	5649368	838028660	5018472	744579375	88.83
SRR14842395	17243646	2572578173	13145006	1960594181	76.23
SRR14842396	55893126	8330195252	42719860	6365745200	76.43
SRR14842397	12306314	1832967736	10486274	1562007159	85.21
SRR14842398	18276444	2718974946	12141930	1804447787	66.43
SRR14842399	16136092	2399040499	10177304	1511283871	63.07
SRR14842401	16660718	2466283944	12942572	1914883280	77.68
SRR14842402	589096	82020457	314158	44777290	53.33
SRR14842404	11861166	1744965745	10369656	1525464472	87.43
SRR14842407	52139198	7762715395	19125226	2850419743	36.68
SRR14842412	9500494	1342082072	8587696	1215232879	90.39
SRR14842415	17456106	2587823772	13956182	2069615692	79.95
SRR14842418	14707046	1979612291	13341394	1798788197	90.71
SRR14842419	1898372	239078973	952182	129748342	50.16
SRR14842420	14333806	2096521165	12735254	1862897296	88.85
SRR14842422	11238862	1623812794	9667390	1397367305	86.02
SRR14842424	15986626	2377210378	2538446	376783533	15.88
SRR14842426	60007582	8957864686	47262626	7055529527	78.76
SRR21169620	32889646	4932079416	28960314	4342891161	88.05
SRR21169621	32709332	4904999411	29208510	4380071493	89.30
SRR21169622	35242168	5284547184	32007430	4799552426	90.82
SRR21169623	36191818	5426821792	32195176	4827590153	88.96
SRR21169624	34120270	5116229488	31030560	4652989629	90.94
SRR21169625	34826762	5210024771	10993946	1648675696	31.57
SRR21169626	33579656	5035228216	30504718	4574315996	90.84
SRR21169627	34950500	5240552676	30476450	4569798818	87.20
SRR21169628	33618288	5041023998	29430496	4413388858	87.54
SRR21169629	33313368	4995352649	29495424	4422960911	88.54
SRR21169630	35362014	5302853466	30991410	4647512247	87.64
SRR23152936	7047318	1045848267	6254740	928179473	88.75
SRR23152947	12505624	1845070648	10565156	1558601187	84.48
SRR23152958	8216650	1220379975	7192012	1067915241	87.53
SRR23152969	9368060	1387685293	8052974	1193013188	85.96
SRR23152980	7178586	1069912828	6138308	915034332	85.51
SRR23153001	9534748	1415465818	8476430	1258170432	88.90
SRR23153012	9820306	1457089562	8753984	1298885928	89.14
SRR23153021	15771268	2274295115	14224906	2051320132	90.20
SRR23153032	12146562	1760497042	10303910	1494009778	84.83
SRR23153058	11065050	1647089623	9706284	1444806135	87.72
SRR23153067	13952196	2009181874	11792212	1699194803	84.52
SRR23153078	15097902	2196891250	13207034	1922506844	87.48
SRR23153089	11481770	1691994930	10488576	1545608285	91.35
SRR23153121	7170872	1059046555	6084646	898682352	84.85
SRR23153148	12719580	1796126110	11081886	1565029273	87.12
SRR23153159	9608832	1422671278	8217686	1216571383	85.52
SRR23153160	7629762	1137880073	6425614	958409995	84.22
SRR23153161	11710964	1717154361	9923030	1455035537	84.73
