sample,animal,project,breed,origin,country,locality,season,day,place,group
SRR21169628,CLF5F,PRJNA871950,Unknown,House,Mongolia,Mongolia,Unknown,Unknown,Unknown,Unknown
SRR21169630,CLW1N,PRJNA871950,Wolf,Wild,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR21169629,CLW2N,PRJNA871950,Wolf,Wild,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR21169627,CLW3N,PRJNA871950,Wolf,Wild,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR14842322,SAADFHOND1,PRJNA738608,Jack Russel Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842356,SAADFHOND2,PRJNA738608,Jack Russel Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842422,SAADFHOND3,PRJNA738608,Jack Russel Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842358,SACRHOND1,PRJNA738608,Bull Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842357,SACRHOND2,PRJNA738608,Dachsund,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842343,SAJBHHOND1,PRJNA738608,Yorkshire Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842320,SAJHHOND1,PRJNA738608,Belgian Shephard,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842354,SAJHHOND2,PRJNA738608,Jack Russel mixed,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842420,SAJHHOND4,PRJNA738608,Border Collie,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842323,SALPHOND1,PRJNA738608,Schnauzer,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842418,SALPHOND2,PRJNA738608,Labrador,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842379,SALPHOND3,PRJNA738608,Africanis,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842412,SALPHOND4,PRJNA738608,Africanis,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842353,SALPHOND5,PRJNA738608,Stafordshire Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842419,SALPHOND6,PRJNA738608,Labrador,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842367,SALPHOND7,PRJNA738608,Labrador,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842355,SASFHOND1,PRJNA738608,Labrador,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842332,SASFHOND2,PRJNA738608,Yorkshire Terrier,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR14842359,SASSDOG1,PRJNA738608,Dachsund,Unknown,South Africa,South Africa,Unknown,Unknown,Unknown,Dog
SRR23153058,HELENA-0972907,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153021,KYRA-2337895,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153032,LILLY-DOG-CTGASR,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23152947,MACBETH-0976701,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153161,NATALIE-5440220,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153121,NEWMAN-5439311,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23152958,ROCKSTAR-1525702,PRJNA925857,Mixed,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23152980,SADA-088AF,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153001,SAHARA-1972724,PRJNA925857,Mixed,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153159,SELYSE-2338671,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153160,SQUEEGEE-1665147,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153067,TROPICANA-1533186,PRJNA925857,Mixed,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153012,TULSA-4957491,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23152936,ARWEN-068AD,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913920,AX0066CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914112,AY0056CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915144,AY0062CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915624,AY0067CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915792,AY0085CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914160,AY0086CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915456,AY0114CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914448,AY0129CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913680,AZ0042CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914136,AZ0048CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915264,AZ0051CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1916080,AZ0054CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915888,BA0053CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913896,BA0103CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153148,BANSHEE-1570511,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915864,BB0080CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913344,BC0077CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915720,BC0108CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914256,BC0110CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915648,BC0117CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913488,BC0118CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913440,BD0062CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914376,BD0093CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915672,BD0096CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913584,BD0102CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913992,BD0115CM,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1916008,BE0103CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1915840,BF0076CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1916320,BF0091CF,PRJEB20308,Labrador,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1913872,BG0060CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914904,BG0074CM,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
ERR1914232,BG0131CF,PRJEB20308,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23152969,CIDER-2403880,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153078,DINKA-0972906,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
SRR23153089,GIMPY-L0580501,PRJNA925857,Beagle,Laboratory,USA,USA,Unknown,Unknown,Unknown,Dog
